symptom,suggestion
"Fever, chills, body ache","Rest, fluids, paracetamol, lukewarm sponge bath"
"Headache, stress","Rest in dark room, drink water, avoid screens"
Migraine headache,"Avoid bright light, caffeine control, pain reliever"
"Sore throat, cough","Warm water, salt gargle, honey + warm water"
"Cold, sneezing","Steam inhalation, vitamin C, rest"
"Ear pain, blocked ear","Warm compress, avoid poking, consult if severe"
"Sinus pressure, headache","Steam inhalation, saline spray, hydration"
"Eye redness, itching","Cold compress, avoid screen strain"
Dry eyes,"Artificial tears, blink more, avoid dust"
Chest pain + breathlessness,Emergency care needed
"Heart palpitations, sweating","Deep breathing, avoid stimulants, consult doctor"
"Dry cough, fatigue","Warm liquids, honey water, rest"
"Wet cough, mucus","Steam inhalation, warm water, no cold foods"
Shortness of breath,"Sit upright, deep breathing, urgent care if severe"
Fever + cough,"Viral infection; rest, fluids, paracetamol"
High fever >3 days,"Consult doctor, continue hydration"
"Stomach pain, vomiting","ORS, rest, avoid heavy food"
"Stomach pain, loose stools","ORS, bananas, curd, avoid fried foods"
"Gas, bloating","Warm water, walk, avoid heavy meals"
"Acid reflux, burning chest","Avoid spicy food, small meals, antacid"
Constipation,"Fiber food, warm water, exercise"
"Nausea, dizziness","ORS, ginger tea, rest"
Severe vomiting,"ORS, avoid solid food, consult doctor"
Food poisoning symptoms,"ORS, avoid dairy/oily food, rest"
Appendix-like pain,Seek emergency help
UTI burning urine,"Drink water, cranberry juice"
Lower back pain,"Warm compress, gentle stretching"
Neck pain,"Hot pack, posture correction"
Joint swelling & pain,"Warm compress, mild exercise"
Muscle strain,"Ice/heat pack, rest"
"Fatigue, weakness","Hydration, iron rich food"
"Hair fall, brittle nails","Nutrition rich diet, multivitamins"
Skin rash,"Calamine lotion, avoid triggers"
Insect bite itching,"Cold compress, antihistamine"
Fungal infection skin,"Keep dry, antifungal cream"
Allergic reaction,"Antihistamine, avoid trigger"
Fever + rash,"Hydration, consult doctor"
Severe allergy swelling,Emergency help
Burn injury mild,"Cold water wash, aloe vera"
Sunburn,"Cold compress, aloe gel"
Cut or wound,"Clean with antiseptic, apply ointment"
Nose bleeding,"Sit upright, pinch nose"
Toothache,"Warm salt rinse, clove oil"
Gum bleeding,"Salt rinse, oral hygiene"
Acne breakout,"Gentle cleanser, avoid picking"
Menstrual cramps,"Warm compress, rest"
Pregnancy nausea,"Ginger tea, eat small meals"
Dehydration,"ORS, coconut water"
Anxiety stress,"Meditation, deep breathing"
Insomnia,"Avoid screens, warm milk, routine sleep"
Kidney pain side,"Hydrate, avoid excess salt, consult if persistent"
